사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,stars_vote_num
카페송키,카페,영업,제주특별자치도 제주시 삼도이동 1120-2번지 ,"제주특별자치도 제주시 무근성안길 16, 1층 (삼도이동)",45,4.3,35
그림책방앤카페노란우산,카페,영업,제주특별자치도 제주시 애월읍 광령리 2981-1번지 자연숲 ,"제주특별자치도 제주시 애월읍 하광로 515, 104동 102호 (자연숲)",8,5.0,3
에릭스에스프레소,카페,영업,제주특별자치도 제주시 구좌읍 세화리 1397-6번지 ,"제주특별자치도 제주시 구좌읍 구좌로 77, 1층",17,4.8,26
일품순두부한림점,한식,영업,제주특별자치도 제주시 한림읍 대림리 1845-2번지 ,"제주특별자치도 제주시 한림읍 한림상로 237, 1층",4,3.5,14
봉플라봉뱅,양식,영업,제주특별자치도 제주시 연동 312-57번지 정인하우스 ,"제주특별자치도 제주시 문송1길 6-1, 정인하우스 1층 (연동)",23,4.2,31
아라포차,술집,영업,제주특별자치도 제주시 아라일동 6138 ,"제주특별자치도 제주시 중앙로 573, 1층 (아라일동)",1,1.0,1
가빈거래처,카페,영업,제주특별자치도 제주시 아라일동 368-81 ,"제주특별자치도 제주시 산천단동2길 13, 1층 (아라일동)",0,0,0
스톤아일랜드탭하우스,호프,영업,제주특별자치도 제주시 연동 280-37 ,"제주특별자치도 제주시 삼무로7길 16, 1층 (연동)",44,4.5,25
레게펍,호프,영업,제주특별자치도 제주시 한림읍 귀덕리 3019 ,제주특별자치도 제주시 한림읍 귀덕리 3019 ,0,0.0,0
옹포분식,분식,영업,제주특별자치도 제주시 한림읍 옹포리 127-15번지 ,"제주특별자치도 제주시 한림읍 월계로 15, 1층",108,2.6,13
연두랑고갈비,한식,영업,제주특별자치도 제주시 도남동 66-17번지 ,"제주특별자치도 제주시 도남로 107-2, 1층 (도남동)",0,0,0
협재더꽃돈본점,카페,영업,제주특별자치도 제주시 한림읍 협재리 1781-1 ,"제주특별자치도 제주시 한림읍 한림로 366, 1층",0,0,0
우차도리,고기,영업,제주특별자치도 제주시 도련일동 1977-5 ,"제주특별자치도 제주시 건주로6길 42, 1층 (도련일동)",0,0.0,0
철판구이삼다돈외도점,고기,영업,제주특별자치도 제주시 외도일동 495-6 ,"제주특별자치도 제주시 우정로 44, 1층 (외도일동)",0,0,0
와르다레스토랑,양식,영업,제주특별자치도 제주시 삼도이동 148-3번지 ,"제주특별자치도 제주시 관덕로8길 24-1, 1층 (삼도이동)",42,4.7,56
길섶나그네,한식,영업,제주특별자치도 제주시 조천읍 와산리 1303-6 ,"제주특별자치도 제주시 조천읍 미래로 241, 1층",3,4.0,8
사랑뜰,한식,영업,제주특별자치도 제주시 한림읍 한림리 1419-1번지 ,"제주특별자치도 제주시 한림읍 한림로 662-1, 1층",0,0.0,0
불티나네,분식,영업,제주특별자치도 제주시 애월읍 하귀2리 2720 ,"제주특별자치도 제주시 애월읍 가문동상2길 29-7, 1층",0,0.0,0
수니테이블,분식,영업,제주특별자치도 제주시 구좌읍 하도리 1544-2번지 ,제주특별자치도 제주시 구좌읍 문주란로 33-1,50,3.1,20
연화양꼬치,중식,영업,제주특별자치도 제주시 연동 276-3 ,"제주특별자치도 제주시 연동8길 28, 1층 105,106호 (연동)",14,5.0,9
돈대표,고기,영업,제주특별자치도 제주시 조천읍 함덕리 955-8번지 ,"제주특별자치도 제주시 조천읍 함덕로 20, 1층",29,3.5,4
예쁘게즐겁게,한식,영업,제주특별자치도 제주시 구좌읍 월정리 278 ,"제주특별자치도 제주시 구좌읍 월정3길 14, 1층",6,5.0,9
황금손가락한림점,일식,영업,제주특별자치도 제주시 한림읍 수원리 942-1번지 ,"제주특별자치도 제주시 한림읍 한림해안로 275, 1층",23,3.0,21
24시누름돌김치찌개,한식,영업,제주특별자치도 제주시 연동 304-3 ,"제주특별자치도 제주시 노연로 146, 1층 (연동)",15,4.5,11
이돈갓아라점,경양식,영업,제주특별자치도 제주시 아라일동 6127-4번지 ,"제주특별자치도 제주시 인다10길 36, 2층 (아라일동)",5,4.4,16
바삭돈가스삼화점,경양식,영업,제주특별자치도 제주시 화북일동 1019-4 티엠빌딩 ,"제주특별자치도 제주시 화삼로 7, 티엠빌딩 3층 301호 (화북일동)",11,4.7,13
제주도모퉁이스낵연회장,분식,영업,제주특별자치도 제주시 한림읍 귀덕리 3769 ,"제주특별자치도 제주시 한림읍 일주서로 5673, 1층",0,5.0,1
남궁누들앤카페,중식,영업,제주특별자치도 제주시 한림읍 한림리 936-7번지 ,"제주특별자치도 제주시 한림읍 한림중앙로 46, 2층",17,4.3,10
한림피그농원,고기,영업,제주특별자치도 제주시 한림읍 한림리 455 ,"제주특별자치도 제주시 한림읍 한수풀로2길 31, 1층",2,0.0,0
하도39,카페,영업,제주특별자치도 제주시 구좌읍 하도리 463-5번지 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 1766-14, 1층",0,0,0
옥성식당,한식,영업,제주특별자치도 제주시 이도일동 1289-5 보성시장 ,"제주특별자치도 제주시 동광로1길 32, 보성시장 (이도일동)",0,4.5,2
제주마당,해산물,영업,제주특별자치도 제주시 이호일동 663-1번지 ,"제주특별자치도 제주시 도리로 50, 2층 (이호일동)",161,3.9,42
공산명월,카페,영업,제주특별자치도 제주시 애월읍 광령리 2611-1 ,"제주특별자치도 제주시 애월읍 광령평화3길 18, 1층",58,4.6,23
대붕정,한식,영업,제주특별자치도 제주시 조천읍 선흘리 464-2번지 ,"제주특별자치도 제주시 조천읍 선교로 571, 1층",0,0.0,0
미연이네집,한식,영업,제주특별자치도 제주시 연동 281-17 삼무주택 ,"제주특별자치도 제주시 삼무로7길 34, 삼무주택 1층 (연동)",0,0,0
영화루,중식,영업,제주특별자치도 제주시 연동 304-37 ,"제주특별자치도 제주시 사장길 15-1, 1층 (연동)",3,4.8,10
맥주창고,호프,영업,제주특별자치도 제주시 도남동 909-1번지 윤재연립 ,"제주특별자치도 제주시 도남로 40, 1층 (도남동, 윤재연립)",0,0.0,0
성두길일오포차,포차,영업,제주특별자치도 제주시 연동 291-83번지 ,"제주특별자치도 제주시 성두길 15, 1층 (연동)",18,3.7,3
흑돼지세끼,고기,영업,제주특별자치도 제주시 오등동 611-8번지 ,"제주특별자치도 제주시 아연로 440, 1층 (오등동)",0,0,0
램하우스,고기,영업,제주특별자치도 제주시 조천읍 교래리 471-3 ,"제주특별자치도 제주시 조천읍 교래1길 45, B,C동 1층",515,4.9,424
살레안의고깃,고기,영업,제주특별자치도 제주시 노형동 1942-1번지 ,"제주특별자치도 제주시 월산남길 110, 1층 (노형동)",32,4.3,28
쉬멍해장국,한식,영업,제주특별자치도 제주시 이도이동 2035-9 ,"제주특별자치도 제주시 구남로4길 8-12, 1층 (이도이동)",0,2.8,5
우도청정식당,한식,영업,제주특별자치도 제주시 우도면 연평리 1185-2번지 ,"제주특별자치도 제주시 우도면 우도해안길 804, 1층",4,3.3,3
사쿠라미치,호프,영업,제주특별자치도 제주시 삼도일동 529-3번지 ,"제주특별자치도 제주시 전농로 48-1, 1층 (삼도일동)",0,0,0
하누가물애,카페,영업,제주특별자치도 제주시 조천읍 대흘리 1667-5 ,"제주특별자치도 제주시 조천읍 중산간동로 669, 1층",0,0,0
앤드앤드,카페,영업,제주특별자치도 제주시 연동 256-10번지 뉴전원빌라 ,"제주특별자치도 제주시 연동4길 28-16, 1층 102호 (연동, 뉴전원빌라)",1,0.0,0
향기마라탕오리전문점,중식,영업,제주특별자치도 제주시 삼도이동 1241-12번지 ,"제주특별자치도 제주시 중앙로 140, 1층 (삼도이동)",0,3.7,3
짱돌,한식,영업,제주특별자치도 제주시 외도일동 405-4 ,"제주특별자치도 제주시 일주서로 7326, 1층 (외도일동)",0,0,0
인추자커피앤민박,카페,영업,제주특별자치도 제주시 추자면 대서리 8-8 ,"제주특별자치도 제주시 추자면 추자로 20-1, 1층",31,3.7,3
혜안,양식,영업,제주특별자치도 제주시 해안동 1724-1 ,"제주특별자치도 제주시 해안마을10길 39, 1층 (해안동)",105,3.8,10
수빈이네제주밥상,한식,영업,제주특별자치도 제주시 건입동 675-9번지 ,"제주특별자치도 제주시 사라봉7길 31-1, 1층 (건입동)",2,3.8,6
안녕하샌,호프,영업,제주특별자치도 제주시 구좌읍 월정리 562 ,"제주특별자치도 제주시 구좌읍 월정3길 53-15, 2동",25,4.7,20
응급실국물떡볶이제주이도점,분식,영업,제주특별자치도 제주시 이도이동 1035-3번지 ,"제주특별자치도 제주시 가령로4길 1, 1층 (이도이동)",0,0,0
신촌도시락,한식,영업,제주특별자치도 제주시 조천읍 신촌리 1789-3 ,"제주특별자치도 제주시 조천읍 신북로 88, 지하1층",0,4.5,2
사랑방포차,한식,영업,제주특별자치도 제주시 한림읍 한림리 1207번지 ,"제주특별자치도 제주시 한림읍 한림중앙로 14, 1층",0,0.0,0
돈삼겹직영5호점,한식,영업,제주특별자치도 제주시 이도이동 1952-2 ,"제주특별자치도 제주시 신설로9길 37, 지하1층 (이도이동)",0,4.5,2
미미래,호프,영업,제주특별자치도 제주시 용담이동 359-51번지 ,"제주특별자치도 제주시 용담로 94, 1층 (용담이동)",0,0,0
티엔미미,카페,영업,제주특별자치도 제주시 연동 253-13번지 ,"제주특별자치도 제주시 연동4길 8, 1,2층 (연동)",2,5.0,1
블랙,한식,영업,제주특별자치도 제주시 이도이동 1186-33번지 ,"제주특별자치도 제주시 서광로32길 37-5, 2층 (이도이동)",0,0,0
호자,한식,영업,제주특별자치도 제주시 구좌읍 세화리 1318-3번지 ,"제주특별자치도 제주시 구좌읍 세화8길 7, 1층",143,4.3,82
장전반점,중식,영업,제주특별자치도 제주시 애월읍 장전리 429 ,"제주특별자치도 제주시 애월읍 하소로 373, 1층",29,4.2,21
한림칼국수제주세화점,한식,영업,제주특별자치도 제주시 구좌읍 세화리 1-15번지 ,"제주특별자치도 제주시 구좌읍 해녀박물관길 33-1, 1층",212,4.2,31
베롱베롱인행원,한식,영업,제주특별자치도 제주시 구좌읍 행원리 165-3번지 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 820-38, 1층",1,5.0,5
문전성시,호프,영업,제주특별자치도 제주시 이도이동 1768-30번지 ,"제주특별자치도 제주시 신성로13길 17-1, 1층 (이도이동)",3,5.0,1
동문감자탕,한식,영업,제주특별자치도 제주시 일도일동 1102-10번지 보인빌딩 ,"제주특별자치도 제주시 중앙로13길 25-2, 보인빌딩 1층 (일도일동)",0,3.0,4
심해,일식,영업,제주특별자치도 제주시 조천읍 신흥리 35-4 ,"제주특별자치도 제주시 조천읍 조함해안로 330-1, 지하1층",1,0.0,0
애월기록,카페,영업,제주특별자치도 제주시 애월읍 하귀2리 2964-9번지 ,"제주특별자치도 제주시 애월읍 번대동길 4, 1층",52,4.5,16
금능바다식당,분식,영업,제주특별자치도 제주시 한림읍 금능리 2088-54 ,"제주특별자치도 제주시 한림읍 한림로 224, 1층",16,5.0,3
역전할머니맥주제주시청점,호프,영업,제주특별자치도 제주시 이도이동 1773-26번지 ,"제주특별자치도 제주시 광양8길 4, 1층 (이도이동)",14,1.8,5
오늘도치킨과맥주가좋다,호프,영업,제주특별자치도 제주시 한림읍 한림리 1323-3번지 ,"제주특별자치도 제주시 한림읍 사가길 22, 1층",0,0.0,0
알프스인소길,양식,영업,제주특별자치도 제주시 애월읍 소길리 854-2번지 ,"제주특별자치도 제주시 애월읍 소길남길 22, 1층",4,5.0,10
뽕꼬랑,한식,영업,제주특별자치도 제주시 조천읍 와흘리 165-39번지 ,"제주특별자치도 제주시 조천읍 남조로 2228, 1층",0,0.0,0
노가리앤비어이도일동점,호프,영업,제주특별자치도 제주시 이도일동 1245-3번지 ,"제주특별자치도 제주시 동광로 39, 1층 (이도일동)",0,0,0
앤,한식,영업,제주특별자치도 제주시 애월읍 하귀1리 1650-1번지 ,"제주특별자치도 제주시 애월읍 하귀12길 39, 1층",195,4.1,62
커피베이노형점,카페,영업,제주특별자치도 제주시 노형동 1045-9 ,"제주특별자치도 제주시 월랑로10길 23, 1층 (노형동)",0,0.0,0
젠틀래빗제주연동점,레스토랑,영업,제주특별자치도 제주시 연동 284-9 ,"제주특별자치도 제주시 연동12길 4, 15층 (연동)",0,0,0
딜레탕트,카페,영업,제주특별자치도 제주시 조천읍 조천리 3253-12 ,"제주특별자치도 제주시 조천읍 신북로 144, 1,2층",411,4.9,65
원스몰글라스,와인,영업,제주특별자치도 제주시 이도이동 1767-20번지 ,"제주특별자치도 제주시 서광로32길 27-3, 2층 (이도이동)",4,4.5,2
제주울어멍김밥,한식,영업,제주특별자치도 제주시 노형동 743-5 ,"제주특별자치도 제주시 진군2길 17, 1층 (노형동)",1,5.0,6
미리로,카페,영업,제주특별자치도 제주시 이호일동 1795번지 ,"제주특별자치도 제주시 테우해안로 136, 2층 (이호일동)",32,4.4,21
36.5도여름,카페,영업,제주특별자치도 제주시 애월읍 납읍리 2274-7번지 ,"제주특별자치도 제주시 애월읍 애납로 165, 1층",34,4.7,56
더더,한식,영업,제주특별자치도 제주시 애월읍 신엄리 753-1번지 ,"제주특별자치도 제주시 애월읍 엄장로 16, 1층",0,0.0,0
안녕전복,한식,영업,제주특별자치도 제주시 삼도이동 887-1번지 ,"제주특별자치도 제주시 관덕로 3, 1층 (삼도이동)",93,4.6,91
한앤솜하우스,카페,영업,제주특별자치도 제주시 노형동 1576-10 ,"제주특별자치도 제주시 진군남2길 10-5, 1층 (노형동)",2,5.0,3
호랑이부엌,한식,영업,제주특별자치도 제주시 한림읍 한림리 1391-2 ,"제주특별자치도 제주시 한림읍 한성길 4-1, 1층",0,0,0
치토랑제주아라점,경양식,영업,제주특별자치도 제주시 아라이동 1384-9번지 ,"제주특별자치도 제주시 간월동로 21, 1층 (아라이동)",0,4.0,4
과일담,카페,영업,제주특별자치도 제주시 노형동 1067-9 흥아빌라 ,"제주특별자치도 제주시 월랑로4길 13, 1층 (노형동, 흥아빌라)",0,0,0
땡겨불닭,한식,영업,제주특별자치도 제주시 이도이동 1955-3번지 ,"제주특별자치도 제주시 신설로11길 51, 1층 (이도이동)",0,0.0,0
삼양백년짜장,중식,영업,제주특별자치도 제주시 삼양이동 2102-17번지 ,"제주특별자치도 제주시 설촌로12길 36, 1층 (삼양이동)",9,4.0,16
부원뚝배기,한식,영업,제주특별자치도 제주시 한림읍 대림리 1221-6번지 ,"제주특별자치도 제주시 한림읍 일주서로 5608, 지하1층",106,4.0,38
호탕,한식,영업,제주특별자치도 제주시 애월읍 애월리 1574-2번지 ,"제주특별자치도 제주시 애월읍 애월로8길 8, 1층",60,3.9,36
다다미,한식,영업,제주특별자치도 제주시 노형동 1053-3번지 ,"제주특별자치도 제주시 월랑로 30, 1층 2호 (노형동)",1,5.0,3
플로리카페,경양식,영업,제주특별자치도 제주시 영평동 2689-1 ,"제주특별자치도 제주시 연신로 188-20, 누리힐 1층 (영평동)",0,5.0,4
춘천명동닭갈비삼화점,한식,영업,제주특별자치도 제주시 화북일동 1015-2 ,"제주특별자치도 제주시 화삼로1길 16, 1층 (화북일동)",3,5.0,2
제주김만복옛집,분식,영업,제주특별자치도 제주시 용담일동 144-24번지 ,"제주특별자치도 제주시 서문로 70-1, 1~3층 (용담일동)",0,0,0
지나네,한식,영업,제주특별자치도 제주시 도두일동 2629-2번지 ,"제주특별자치도 제주시 도공로 9-1, 1층 (도두일동)",0,0,0
프라이드프라이드하귀점,치킨,영업,제주특별자치도 제주시 애월읍 하귀1리 163-3번지 ,"제주특별자치도 제주시 애월읍 하광로 53, 1층",0,0,0
신제주황가네,한식,영업,제주특별자치도 제주시 연동 283-28번지 ,"제주특별자치도 제주시 은남3길 28, 1층 (연동)",0,0.0,0
고이정,고기,영업,제주특별자치도 제주시 애월읍 애월리 2457-1 ,"제주특별자치도 제주시 애월읍 애월로 6, A동 1층",620,4.4,322
객잔,호프,영업,제주특별자치도 제주시 삼양이동 2181-30 ,"제주특별자치도 제주시 삼봉로2길 18, 1층 (삼양이동)",0,0,0
옹포83,경양식,영업,제주특별자치도 제주시 한림읍 옹포리 227-7번지 ,"제주특별자치도 제주시 한림읍 옹포8길 3, 1층",0,0,0
일품순두부함덕점,한식,영업,제주특별자치도 제주시 조천읍 함덕리 4149-5번지 ,"제주특별자치도 제주시 조천읍 함와로 24, 1층",31,4.0,37
방긋스낵,분식,영업,제주특별자치도 제주시 구좌읍 행원리 1537-21 ,"제주특별자치도 제주시 구좌읍 행원로1길 32-5, 1층",71,3.8,21
질레,한식,영업,제주특별자치도 제주시 건입동 675-18번지 ,"제주특별자치도 제주시 사라봉13길 16, 1층 (건입동)",27,4.6,13
예서갈비,한식,영업,제주특별자치도 제주시 아라일동 6114-9번지 ,"제주특별자치도 제주시 인다6길 57, 1층 (아라일동)",2,4.8,10
주민상회하귀점,한식,영업,제주특별자치도 제주시 애월읍 하귀1리 237-5번지 ,"제주특별자치도 제주시 애월읍 하광로 46, 1층",3,4.5,6
미번베트남쌀국수,베트남식,영업,제주특별자치도 제주시 한림읍 한림리 1587-2 ,"제주특별자치도 제주시 한림읍 한림로5길 23, 1층 1호",0,0,0
가나포차,포차,영업,제주특별자치도 제주시 연동 275-6 연동가나휘닉스1 ,"제주특별자치도 제주시 신대로20길 46, 지하1층 (연동, 연동가나휘닉스1)",0,5.0,1
당당,카페,영업,제주특별자치도 제주시 애월읍 신엄리 1212-1번지 ,제주특별자치도 제주시 애월읍 중엄안1길 25,222,3.7,98
미화족발전문점,한식,영업,제주특별자치도 제주시 화북일동 1947-24번지 화북시장아파트 ,"제주특별자치도 제주시 진동로5길 31, 144호 (화북일동, 화북시장아파트)",0,0.0,0
진식당,한식,영업,제주특별자치도 제주시 도남동 917-6번지 ,"제주특별자치도 제주시 도남로7길 30, 1층 (도남동)",2,4.5,2
꼬지사께연동점,일식,영업,제주특별자치도 제주시 연동 1523-3번지 ,"제주특별자치도 제주시 국기로4길 1, 1층 (연동)",1,5.0,1
꼬치에꼬치다,일식,영업,제주특별자치도 제주시 이도이동 1769-1번지 ,"제주특별자치도 제주시 서광로32길 16, 3층 (이도이동)",7,0.0,0
영평가시나물마을회,한식,영업,제주특별자치도 제주시 영평동 2261번지 양지공원 ,"제주특별자치도 제주시 516로 2810-31, 양지공원 지하1층 (영평동)",0,0,0
꼭지네심야식당,한식,영업,제주특별자치도 제주시 삼도이동 108-17번지 중앙하이츠빌라 ,"제주특별자치도 제주시 중앙로12길 19, 1층 (삼도이동, 중앙하이츠빌라)",0,0,0
함더쿠,분식,영업,제주특별자치도 제주시 조천읍 함덕리 3135 ,"제주특별자치도 제주시 조천읍 조함해안로 428-18, 1층",0,0,0
카페포레스트,카페,영업,제주특별자치도 제주시 구좌읍 평대리 2876-11번지 ,"제주특별자치도 제주시 구좌읍 비자림로 2330, 1층",42,4.4,24
로즈타이거제주흙돼지,한식,영업,제주특별자치도 제주시 일도이동 48 오성빌딩 ,"제주특별자치도 제주시 천수로 52, 오성빌딩 1층 (일도이동)",0,0,0
맛있는참세상,한식,영업,제주특별자치도 제주시 한경면 조수리 116-4번지 ,"제주특별자치도 제주시 한경면 용금로 496, 1층",8,4.1,27
모스트펍,한식,영업,제주특별자치도 제주시 노형동 923-6번지 ,"제주특별자치도 제주시 원노형2길 29, 2층 (노형동)",0,0.0,0
무보,한식,영업,제주특별자치도 제주시 한림읍 금능리 1472-1 ,"제주특별자치도 제주시 한림읍 금능6길 16-14, 1층",1,0.0,0
이스트포레스트,양식,영업,제주특별자치도 제주시 구좌읍 종달리 1027번지 ,"제주특별자치도 제주시 구좌읍 종달로1길 26-1, 1층",274,4.2,108
콩창고,한식,영업,제주특별자치도 제주시 한림읍 동명리 2086-1번지 ,"제주특별자치도 제주시 한림읍 명월성로 55, 1층",11,4.7,23
초딩입맛,야식,영업,제주특별자치도 제주시 노형동 1292-6번지 솔누리주택 ,"제주특별자치도 제주시 다랑곶길 36, 1층 (노형동, 솔누리주택)",0,0.0,0
하르방짬뽕,중식,영업,제주특별자치도 제주시 애월읍 하귀1리 214-4번지 ,"제주특별자치도 제주시 애월읍 하귀동남4길 4, 1층",80,4.2,69
군산야식,호프,영업,제주특별자치도 제주시 삼도일동 538-4 ,"제주특별자치도 제주시 서사로 105, 1층 (삼도일동)",0,5.0,4
장어창고,한식,영업,제주특별자치도 제주시 한경면 두모리 2462-1번지 ,"제주특별자치도 제주시 한경면 두신로 146, 1층",58,4.8,12
회만원,해산물,영업,제주특별자치도 제주시 이도이동 1148-5번지 ,"제주특별자치도 제주시 동광로6길 21, 1층 (이도이동)",0,0.0,0
동백키친,한식,영업,제주특별자치도 제주시 한림읍 수원리 479-1번지 ,"제주특별자치도 제주시 한림읍 수원7길 42, 1층",63,3.7,25
돌담위에흑돼지,한식,영업,제주특별자치도 제주시 애월읍 신엄리 963-3번지 ,"제주특별자치도 제주시 애월읍 애월해안로 608, 1층",56,4.4,45
옛날통닭닭치고족치고함덕점,치킨,영업,제주특별자치도 제주시 조천읍 함덕리 72-81번지 ,"제주특별자치도 제주시 조천읍 함와로 54, 1층",6,3.3,6
서머셋,경양식,영업,제주특별자치도 제주시 연동 292-3 ,"제주특별자치도 제주시 삼무로 66, 1층 (연동)",0,0.0,0
엘리펀트힙,카페,영업,제주특별자치도 제주시 삼도이동 1261-10 ,"제주특별자치도 제주시 탑동로 20, 1층 (삼도이동)",57,4.5,17
소확행,한식,영업,제주특별자치도 제주시 이도이동 1176-23 ,"제주특별자치도 제주시 동광로 12, 1층 (이도이동)",9,4.8,5
나르드카페,경양식,영업,제주특별자치도 제주시 한림읍 동명리 1597-6 ,"제주특별자치도 제주시 한림읍 한림상로 110, 다동 1층",5,4.8,4
딱새우랑,해산물,영업,제주특별자치도 제주시 구좌읍 한동리 1367번지 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 990, 1층",92,3.9,55
뮤커피(mucoffee),카페,영업,제주특별자치도 제주시 외도일동 530-3번지 ,"제주특별자치도 제주시 우정로15길 42-3, 1층 (외도일동)",0,5.0,4
순옥이네명가함덕점,한식,영업,제주특별자치도 제주시 조천읍 함덕리 272-77번지 ,"제주특별자치도 제주시 조천읍 함덕로 6, 1층",0,0,0
30년할매닭발 한림점,한식,영업,제주특별자치도 제주시 한림읍 한림리 1305-18 ,"제주특별자치도 제주시 한림읍 한림로 690, 1층",2,5.0,2
오례밥집,고기,영업,제주특별자치도 제주시 조천읍 함덕리 1752-2 에덴빌리지2차 ,"제주특별자치도 제주시 조천읍 조천우회로 527, 202동 1층 102호 (에덴빌리지2차)",0,0,0
어서우도,한식,영업,제주특별자치도 제주시 우도면 연평리 144 ,"제주특별자치도 제주시 우도면 우도해안길 1032, 1층",3,5.0,2
소담키친,카페,영업,제주특별자치도 제주시 애월읍 하귀2리 1310-1 ,"제주특별자치도 제주시 애월읍 항몽로 34, 1층",1,5.0,4
동문꼬마김밥,분식,영업,제주특별자치도 제주시 일도일동 1152번지 ,"제주특별자치도 제주시 동문로 18, 1층 (일도일동)",0,0.0,0
동광회센타,해산물,영업,제주특별자치도 제주시 일도이동 74-2 ,"제주특별자치도 제주시 연삼로 544, 1층 (일도이동)",46,3.0,5
오키니,일식,영업,제주특별자치도 제주시 연동 1527-3번지 ,"제주특별자치도 제주시 연화로2길 8, 1층 (연동)",6,4.5,10
이로운술상,술집,영업,제주특별자치도 제주시 조천읍 함덕리 1261 ,"제주특별자치도 제주시 조천읍 함덕16길 44, 1층",11,5.0,6
새미언덕,한식,영업,제주특별자치도 제주시 회천동 2219-5 ,"제주특별자치도 제주시 중산간동로 188-6, 1층 (회천동)",6,4.9,20
역전할머니맥주일도점,호프,영업,제주특별자치도 제주시 일도이동 416-7번지 그랑펠리스 ,"제주특별자치도 제주시 천수로9길 1, 1층 (일도이동, 그랑펠리스)",6,5.0,1
응급실국물떡볶이삼화점,분식,영업,제주특별자치도 제주시 도련일동 1978-6번지 ,"제주특별자치도 제주시 건주로 66, 1층 105호 (도련일동)",0,0,0
돈사돈월정점,한식,영업,제주특별자치도 제주시 구좌읍 한동리 1437-1번지 ,"제주특별자치도 제주시 구좌읍 한동북1길 29-3, 1층",143,4.1,105
너나들이민속주점,술집,영업,제주특별자치도 제주시 이도이동 1997-19 ,"제주특별자치도 제주시 구남로 38, 1층 (이도이동)",0,0,0
애월돈가스집,경양식,영업,제주특별자치도 제주시 애월읍 애월리 2535번지 ,"제주특별자치도 제주시 애월읍 애월로1길 26-8, 1층",90,2.7,23
평산제면소,일식,영업,제주특별자치도 제주시 한경면 신창리 461-1번지 ,"제주특별자치도 제주시 한경면 두신로 42, 1층",0,0,0
달세뇨아빠의레스토랑,경양식,영업,제주특별자치도 제주시 조천읍 대흘리 1778-1번지 ,"제주특별자치도 제주시 조천읍 함대로 520, 1층",13,4.3,9
애월연어,일식,영업,제주특별자치도 제주시 애월읍 유수암리 2709-1 ,"제주특별자치도 제주시 애월읍 하소로 660, 1층",193,4.6,83
태하횟집,해산물,영업,제주특별자치도 제주시 용담일동 409 ,"제주특별자치도 제주시 동한두기길 31-2, 1,2층 (용담일동)",110,4.7,68
노가리앤비어삼화지구점,호프,영업,제주특별자치도 제주시 도련일동 1939-3번지 ,"제주특별자치도 제주시 건주로4길 10-4, 1층 (도련일동)",3,2.5,2
박대감,한식,영업,제주특별자치도 제주시 삼도이동 1186-1번지 ,"제주특별자치도 제주시 중앙로2길 37, 1층 (삼도이동)",0,0,0
노가리앤비어노형2호점,한식,영업,제주특별자치도 제주시 노형동 1061-2 ,"제주특별자치도 제주시 수덕7길 21, 가동 1층 101호 (노형동)",0,4.5,4
돈삼겹한라점,고기,영업,제주특별자치도 제주시 연동 1526-1 ,"제주특별자치도 제주시 연화로 51, 1층 (연동)",2,2.8,6
한샘해장국본점,한식,영업,제주특별자치도 제주시 오라이동 669-9번지 ,"제주특별자치도 제주시 아연로 195-1, 1층 (오라이동)",1,1.0,1
태랑,한식,영업,제주특별자치도 제주시 이호일동 1795번지 ,"제주특별자치도 제주시 테우해안로 136, 1층 (이호일동)",80,4.1,43
제주우드펍,호프,영업,제주특별자치도 제주시 도두이동 706-7 ,"제주특별자치도 제주시 서해안로 348-1, 1층 (도두이동)",17,4.0,8
브루클린,카페,영업,제주특별자치도 제주시 애월읍 신엄리 2891-3 ,"제주특별자치도 제주시 애월읍 신엄연대길 30, 1층",47,4.6,19
곰돌이숯불갈비,한식,영업,제주특별자치도 제주시 연동 2303-3 ,"제주특별자치도 제주시 일주서로 7852, 1층 (연동)",30,5.0,6
호야네집,한식,영업,제주특별자치도 제주시 연동 1512-2 ,"제주특별자치도 제주시 연화로1길 6-1, 1층 (연동)",21,4.2,14
티바두마리치킨이도점,호프,영업,제주특별자치도 제주시 이도이동 1028-18번지 ,"제주특별자치도 제주시 구남로 51, 1층 (이도이동)",0,0,0
비자향,한식,영업,제주특별자치도 제주시 구좌읍 평대리 3204-3 ,"제주특별자치도 제주시 구좌읍 비자림로 2270, 1층",22,4.7,109
삼춘네정육식당,고기,영업,제주특별자치도 제주시 화북일동 1017-2 ,"제주특별자치도 제주시 화삼로1길 15, A동 2층 (화북일동)",3,0.0,0
더회전훠궈,중식,영업,제주특별자치도 제주시 노형동 917-10번지 ,"제주특별자치도 제주시 노연로 55, 2층 (노형동)",29,4.6,26
짝태앤노가리제주2호점,호프,영업,제주특별자치도 제주시 노형동 944-17번지 ,"제주특별자치도 제주시 원노형남1길 46, 1층 (노형동)",0,0,0
세화바당,해산물,영업,제주특별자치도 제주시 구좌읍 세화리 1526 ,"제주특별자치도 제주시 구좌읍 세화1길 7, 1층",2,3.3,3
선술집기억,경양식,영업,제주특별자치도 제주시 삼도이동 594-19 ,"제주특별자치도 제주시 전농로 75-1, 2층 (삼도이동)",0,0,0
